region,clinic_visit_week,lag_start,lag_end,rainfall_lagged_mm
Mara,2023-01-28,2022-12-17,2023-01-14,113.54
Mara,2023-02-04,2022-12-24,2023-01-21,89.37
Mara,2023-02-11,2022-12-31,2023-01-28,61.64
Mara,2023-02-18,2023-01-07,2023-02-04,63.87
Mara,2023-02-25,2023-01-14,2023-02-11,48.04
Mara,2023-03-04,2023-01-21,2023-02-18,47.38
Mara,2023-03-11,2023-01-28,2023-02-25,25.01
Mara,2023-03-18,2023-02-04,2023-03-04,72.08
Mara,2023-03-25,2023-02-11,2023-03-11,65.78
Mara,2023-04-01,2023-02-18,2023-03-18,116.25
Mara,2023-04-08,2023-02-25,2023-03-25,257.86
Mara,2023-04-15,2023-03-04,2023-04-01,269.46
Mara,2023-04-22,2023-03-11,2023-04-08,325.78
Mara,2023-04-29,2023-03-18,2023-04-15,291.61
Mara,2023-05-06,2023-03-25,2023-04-22,178.75
Mara,2023-05-13,2023-04-01,2023-04-29,190.6
Mara,2023-05-20,2023-04-08,2023-05-06,182.51
Mara,2023-05-27,2023-04-15,2023-05-13,177.22
Mara,2023-06-03,2023-04-22,2023-05-20,151.87
Mara,2023-06-10,2023-04-29,2023-05-27,89.09
Mara,2023-06-17,2023-05-06,2023-06-03,39.8
Mara,2023-06-24,2023-05-13,2023-06-10,27.76
Mara,2023-07-01,2023-05-20,2023-06-17,52.67
Mara,2023-07-08,2023-05-27,2023-06-24,61.34
Mara,2023-07-15,2023-06-03,2023-07-01,66.21
Mara,2023-07-22,2023-06-10,2023-07-08,67.62
Mara,2023-07-29,2023-06-17,2023-07-15,33.9
Mara,2023-08-05,2023-06-24,2023-07-22,15.26
Mara,2023-08-12,2023-07-01,2023-07-29,7.21
Mara,2023-08-19,2023-07-08,2023-08-05,4.92
Mara,2023-08-26,2023-07-15,2023-08-12,5.38
Mara,2023-09-02,2023-07-22,2023-08-19,7.45
Mara,2023-09-09,2023-07-29,2023-08-26,6.71
Mara,2023-09-16,2023-08-05,2023-09-02,7.87
Mara,2023-09-23,2023-08-12,2023-09-09,31.11
Mara,2023-09-30,2023-08-19,2023-09-16,55.83
Mara,2023-10-07,2023-08-26,2023-09-23,84.92
Mara,2023-10-14,2023-09-02,2023-09-30,100.97
Mara,2023-10-21,2023-09-09,2023-10-07,83.6
Mara,2023-10-28,2023-09-16,2023-10-14,71.37
Mara,2023-11-04,2023-09-23,2023-10-21,70.46
Mara,2023-11-11,2023-09-30,2023-10-28,58.12
Mara,2023-11-18,2023-10-07,2023-11-04,124.49
Mara,2023-11-25,2023-10-14,2023-11-11,182.42
Mara,2023-12-02,2023-10-21,2023-11-18,200.72
Mara,2023-12-09,2023-10-28,2023-11-25,242.62
Mara,2023-12-16,2023-11-04,2023-12-02,238.54
Mara,2023-12-23,2023-11-11,2023-12-09,214.43
Mara,2023-12-30,2023-11-18,2023-12-16,209.99
Morogoro,2022-01-01,2021-11-20,2021-12-18,67.75
Morogoro,2022-01-08,2021-11-27,2021-12-25,67.31
Morogoro,2022-01-15,2021-12-04,2022-01-01,51.9
Morogoro,2022-01-22,2021-12-11,2022-01-08,36.1
Morogoro,2022-01-29,2021-12-18,2022-01-15,59.18
Morogoro,2022-02-05,2021-12-25,2022-01-22,193.28
Morogoro,2022-02-12,2022-01-01,2022-01-29,281.19
Morogoro,2022-02-19,2022-01-08,2022-02-05,364.04
Morogoro,2022-02-26,2022-01-15,2022-02-12,397.64
Morogoro,2022-03-05,2022-01-22,2022-02-19,352.16
Morogoro,2022-03-12,2022-01-29,2022-02-26,334.76
Morogoro,2022-03-19,2022-02-05,2022-03-05,311.48
Morogoro,2022-03-26,2022-02-12,2022-03-12,285.09
Morogoro,2022-04-02,2022-02-19,2022-03-19,237.25
Morogoro,2022-04-09,2022-02-26,2022-03-26,214.63
Morogoro,2022-04-16,2022-03-05,2022-04-02,252.23
Morogoro,2022-04-23,2022-03-12,2022-04-09,229.73
Morogoro,2022-04-30,2022-03-19,2022-04-16,266.36
Morogoro,2022-05-07,2022-03-26,2022-04-23,285.4
Morogoro,2022-05-14,2022-04-02,2022-04-30,277.94
Morogoro,2022-05-21,2022-04-09,2022-05-07,284.58
Morogoro,2022-05-28,2022-04-16,2022-05-14,219.61
Morogoro,2022-06-04,2022-04-23,2022-05-21,157.64
Morogoro,2022-06-11,2022-04-30,2022-05-28,68.41
Morogoro,2022-06-18,2022-05-07,2022-06-04,54.86
Morogoro,2022-06-25,2022-05-14,2022-06-11,44.43
Morogoro,2022-07-02,2022-05-21,2022-06-18,30.76
Morogoro,2022-07-09,2022-05-28,2022-06-25,18.66
Morogoro,2022-07-16,2022-06-04,2022-07-02,10.27
Morogoro,2022-07-23,2022-06-11,2022-07-09,6.6
Morogoro,2022-07-30,2022-06-18,2022-07-16,7.08
Morogoro,2022-08-06,2022-06-25,2022-07-23,9.01
Morogoro,2022-08-13,2022-07-02,2022-07-30,9.26
Morogoro,2022-08-20,2022-07-09,2022-08-06,8.93
Morogoro,2022-08-27,2022-07-16,2022-08-13,8.35
Morogoro,2022-09-03,2022-07-23,2022-08-20,6.6
Morogoro,2022-09-10,2022-07-30,2022-08-27,7.32
